"game_id","play_index","row_type","play_type","pos_team","def_pos_team","penalty_flag","penalty_yards_signed","penalized_team","penalty_no_play","penalty_declined","yards_gained","penalty_text","play_text"
"20250906_e064",89,"play","pass_incomplete","Carnegie Mellon","UChicago",TRUE,-10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Holding (Champe,Andy) 10 yards from UCHI16 to UCHI26. NO PLAY.","No Huddle-Shotgun McGinnis IV,Joey pass incomplete short right to Moynihan,Danny thrown to UCHI12 broken up by Gideons,Battle PENALTY CMU Holding (Champe,Andy) 10 yards from UCHI16 to UCHI26. NO PLAY."
"20250906_e064",91,"play","rush","Carnegie Mellon","UChicago",TRUE,-5,"Carnegie Mellon",FALSE,FALSE,3,"PENALTY CMU Illegal Forward Pass (McGinnis IV,Joey) 5 yards from UCHI23 to UCHI28.","No Huddle-Shotgun McGinnis IV,Joey rush right for 3 yards gain to the UCHI23, End Of Play PENALTY CMU Illegal Forward Pass (McGinnis IV,Joey) 5 yards from UCHI23 to UCHI28."
"20250906_e064",105,"play","punt_with_return","UChicago","Carnegie Mellon",TRUE,5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Holding declined CMU Running Into The Kicker (Strigger,Josiah) 5 yards from UCHI47 to CMU48, 1ST DOWN. NO PLAY.","Tan,Tad punt 37 yards to the CMU16 McCullough,Brendan return 11 yards to the CMU27 (Rolls,Hugh) PENALTY CMU Holding declined CMU Running Into The Kicker (Strigger,Josiah) 5 yards from UCHI47 to CMU48, 1ST DOWN. NO PLAY."
"20250906_e064",109,"penalty_no_play","penalty_no_play","UChicago","Carnegie Mellon",TRUE,-5,"UChicago",TRUE,FALSE,,"PENALTY UCHI Delay Of Game (Tan,Tad) 5 yards from CMU49 to UCHI46. NO PLAY.","PENALTY UCHI Delay Of Game (Tan,Tad) 5 yards from CMU49 to UCHI46. NO PLAY."
"20250906_e064",110,"play","punt_no_return","UChicago","Carnegie Mellon",TRUE,,"Carnegie Mellon",FALSE,TRUE,,"PENALTY CMU Running Into The Kicker declined.","Tan,Tad punt 44 yards to the CMU10 fair catch by McCullough,Brendan at CMU10 PENALTY CMU Running Into The Kicker declined."
"20250906_e064",114,"play","rush","Carnegie Mellon","UChicago",TRUE,5,"UChicago",TRUE,FALSE,,"PENALTY UCHI Illegal Substitution (Kilgallen,Declan) 5 yards from CMU38 to CMU43. NO PLAY.","No Huddle-Shotgun Bouma,Willem rush left for 4 yards gain to the CMU42 (Rolls,Hugh) PENALTY UCHI Illegal Substitution (Kilgallen,Declan) 5 yards from CMU38 to CMU43. NO PLAY."
"20250906_e064",124,"play","rush","Carnegie Mellon","UChicago",TRUE,-15,"Carnegie Mellon",FALSE,FALSE,3,"PENALTY CMU UNS: Unsportsmanlike Conduct (Corthran,Lin) 15 yards from UCHI10 to UCHI25.","No Huddle-Shotgun McGinnis IV,Joey rush right for 3 yards gain to the UCHI10 (Domadia,Manav; Wigginton,Jack) PENALTY CMU UNS: Unsportsmanlike Conduct (Corthran,Lin) 15 yards from UCHI10 to UCHI25."
"20250906_e064",126,"play","pass_incomplete","UChicago","Carnegie Mellon",TRUE,15,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Roughing The Passer (Tarke,Leighton) 15 yards from UCHI24 to UCHI39, 1ST DOWN. NO PLAY.","Shotgun Ruff,Jack pass incomplete deep right to Degner,Luke thrown to UCHI45 broken up by Johnson,DJ PENALTY CMU Roughing The Passer (Tarke,Leighton) 15 yards from UCHI24 to UCHI39, 1ST DOWN. NO PLAY."
"20250906_e064",133,"play","rush","Carnegie Mellon","UChicago",TRUE,-10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Holding (Katarincic,Charlie) 10 yards from CMU42 to CMU32. NO PLAY.","No Huddle-Shotgun Bouma,Willem rush middle for 0 yards to the CMU42 (Nittoli,Anthony) PENALTY CMU Holding (Katarincic,Charlie) 10 yards from CMU42 to CMU32. NO PLAY."
"20250906_e064",135,"play","pass_complete","Carnegie Mellon","UChicago",TRUE,-15,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Pass Interference (Moynihan,Danny) 15 yards from CMU46 to CMU31. NO PLAY.","No Huddle-Shotgun McGinnis IV,Joey pass complete short right to McCullough,Brendan caught at UCHI44, for 54 yards to the UCHI00 TOUCHDOWN nullified by penalty, clock 00:00 PENALTY CMU Pass Interference (Moynihan,Danny) 15 yards from CMU46 to CMU31. NO PLAY."
"20250906_e064",158,"penalty_no_play","penalty_no_play","Carnegie Mellon","UChicago",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU False Start (Gaul,Conor) 5 yards from UCHI01 to UCHI06. NO PLAY.","PENALTY CMU False Start (Gaul,Conor) 5 yards from UCHI01 to UCHI06. NO PLAY."
"20250913_6i95",26,"penalty_no_play","penalty_no_play","Wis.-La Crosse","Carnegie Mellon",TRUE,-5,"Wis.-La Crosse",TRUE,FALSE,,"PENALTY UWL delay of game (Ethan Tranel) 5 yards to the UWL31.","PENALTY UWL delay of game (Ethan Tranel) 5 yards to the UWL31."
"20250913_6i95",41,"play","punt_with_return","Wis.-La Crosse","Carnegie Mellon",TRUE,-15,"Wis.-La Crosse",FALSE,FALSE,,"PENALTY UWL personal foul (Ben Walsh) 15 yards to the CMU44.","Ethan Tranel punt 46 yards to the CMU18, Brendan McCullo return 11 yards to the CMU29 (Tyr Severson), out-of-bounds, PENALTY UWL personal foul (Ben Walsh) 15 yards to the CMU44."
"20250913_6i95",42,"play","pass_complete","Carnegie Mellon","Wis.-La Crosse",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU ineligible man down field (Andy Champe) 5 yards to the CMU39, NO PLAY.","Joey McGinnis I pass complete to Brendan McCullo for 35 yards to the UWL21, PENALTY CMU ineligible man down field (Andy Champe) 5 yards to the CMU39, NO PLAY."
"20250913_6i95",46,"penalty_no_play","penalty_no_play","Carnegie Mellon","Wis.-La Crosse",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU false start (Jack Korzeniows) 5 yards to the CMU34.","PENALTY CMU false start (Jack Korzeniows) 5 yards to the CMU34."
"20250913_6i95",50,"play","pass_incomplete","Wis.-La Crosse","Carnegie Mellon",TRUE,9,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU pass interference (Ethan Ming) 9 yards to the UWL40, NO PLAY.","Kyle Haas pass incomplete to Jack Janke (Ethan Ming), PENALTY CMU pass interference (Ethan Ming) 9 yards to the UWL40, NO PLAY."
"20250913_6i95",54,"penalty_no_play","penalty_no_play","Wis.-La Crosse","Carnegie Mellon",TRUE,-5,"Wis.-La Crosse",TRUE,FALSE,,"PENALTY UWL false start (Zach Mlsna) 5 yards to the CMU25.","PENALTY UWL false start (Zach Mlsna) 5 yards to the CMU25."
"20250913_6i95",56,"play","rush","Wis.-La Crosse","Carnegie Mellon",TRUE,-10,"Wis.-La Crosse",TRUE,FALSE,,"PENALTY UWL holding 10 yards to the CMU24, NO PLAY.","Brady Wilde rush for no gain to the CMU14 (Jack Lawson; Leighton Tarke), PENALTY UWL holding 10 yards to the CMU24, NO PLAY."
"20250913_6i95",83,"penalty_no_play","penalty_no_play","Carnegie Mellon","Wis.-La Crosse",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU false start (Jake Langdon) 5 yards to the CMU27.","PENALTY CMU false start (Jake Langdon) 5 yards to the CMU27."
